,Day,Project,Task group,Task,Spent Time,Comments,Total Time
0,19-Dec-22,Data Science Project Manager,Project Management,Project meeting,3.0,Completion of Bain Public final workshop. Delivery of Product High Level Strategic Baseline,03:00:00
1,19-Dec-22,Data Science Project Manager,Project Management,Project structure,1.3333,,01:19:59
2,19-Dec-22,Data Science Project Manager,Project Management,Project tools,0.6667,,00:40:00
3,19-Dec-22,General,General tasks,Calendar management,0.3333,,00:19:59
4,19-Dec-22,General,General tasks,Emails,0.6667,,00:40:00
5,19-Dec-22,General,General tasks,Other correspondence (ex: phone),0.25,,00:15:00
6,19-Dec-22,General,General tasks,Preparation for Meeting,0.75,,00:45:00
7,20-Dec-22,Data Science Project Manager,Project Management,Project meeting,1.5,,01:30:00
8,20-Dec-22,Data Science Project Manager,Project Management,Project structure,1.0,,01:00:00
9,20-Dec-22,Data Science Project Manager,Project Management,Project tools,0.5,,00:30:00
10,20-Dec-22,Data Science Project Manager,Project Management,Transit,1.0,,01:00:00
11,20-Dec-22,General,General tasks,Calendar management,0.3333,,00:19:59
12,20-Dec-22,General,General tasks,Emails,0.75,,00:45:00
13,20-Dec-22,General,General tasks,Meeting,1.25,,01:15:00
14,20-Dec-22,General,General tasks,Preparation for Meeting,0.6667,,00:40:00
15,21-Dec-22,Data Science Project Manager,Project Management,Cost management,2.0,"Study the pricing structure of Power BI, book appointment with MS representative, live chat with MS agent for questions, exchange with Dhrumil for paid license to choose",02:00:00
16,21-Dec-22,Data Science Project Manager,Project Management,Project structure,1.0,,01:00:00
17,21-Dec-22,Data Science Project Manager,Project Management,Project tools,0.75,,00:45:00
18,21-Dec-22,General,General tasks,Calendar management,0.75,,00:45:00
19,21-Dec-22,General,General tasks,Emails,1.5,,01:30:00
20,21-Dec-22,General,General tasks,Meeting Minutes,1.0,,01:00:00
21,22-Dec-22,Data Science Project Manager,Project Management,Project tools,0.1667,,00:10:00
22,22-Dec-22,Data Science Project Manager,Project Management,Time management,0.5,,00:30:00
23,22-Dec-22,General,General tasks,Calendar management,0.5,,00:30:00
24,22-Dec-22,General,General tasks,Emails,0.75,,00:45:00
25,22-Dec-22,General,General tasks,Meeting,0.3333,,00:19:59
26,22-Dec-22,General,General tasks,Other correspondence (ex: phone),0.25,,00:15:00
27,22-Dec-22,General,General tasks,Preparation for Meeting,1.5,,01:30:00
